,Alabama,English,Class,Principal Parts,Derivation,Notes
1119,lonka,"to hide oneself, be hidden",-LI,"loⁿiska, loⁿilka, loⁿaska",[/lomhi-ka1],
1120,lónko,Negative form of lomhi,,,,
1121,lòobo,to be smooth,Other Verb,,,
1122,lòobosi,minnow,,,,
1123,loocha,"black person, African-American",,,,
1124,loocha nipihómma,"half-breed, part black and Indian",,,,
1125,loochasi,black child,,,[/loocha-osi],
1126,lookalasa,Var. of ookalasa,,,,
1127,lóokba,to be getting hotter,,,,
1128,lóomhi,to be hiding (something),-LI/CHA-,"lóonchi, lóoⁿhili, lóoⁿhachi",,
1129,lóomhit naaɬiika,to whisper,-LI,,[/lomhi-t /naaɬii-ka1],
1130,lóomhòosit naaɬiika,"to talk low, talk softly, whisper",-LI,,[/lomhi-osi-t /naaɬii-ka1],
1131,Loosiyaana,Louisiana,,,,
1132,losíkko,Negative form of loska,,,,
1133,losilka,"lie, prevarication",,,[/los<il>-ka1],
1134,loska,"to lie, tell a lie",-LI,"losiska, losilka, losaska",[/los-ka1],
1135,loskachi,to make (someone) lie; to lie for,-LI/CHA-,"loskachitiska, loskachitilka, loskachitasak",[/los-ka1],
1136,loskachiichi,to make (someone) lie; to lie for,Other Verb,,[/los-ka1],
1137,ma,that way; that one (distal; previously mentioned),,,,
1138,maabàali,Var. of maabahàali,,,,
1139,maabàalka,to be lying at a distance (of more than one),-LI,"maabàalhilka, maabàalhaska",[maat- /bal(aa)-ka1],
1140,maabahàali,to push (plural objects) away or toward,-LI/CHA-,"maabahàachi, maabahàahili, maabahàahachi",[maat- /baha(f)-li],
1141,maabállàaka,to be lying at a distance (of one),-LI,"maabállàahiska, -, -",[maat- /balaa-ka1],
1142,maabatli,to knock (more than once) at the door,-LI/CHA-,"maabatchi, maabathili, maabathachi",[maat- /bat(at)-li],
1143,maabinafka,to erode and collapse,,,[maat- /binaf-ka1],
1144,maachi,Var. of maalichi,,,,
1145,maachoffi,to jump down from (of more than one),-LI,"-, maachofhili, maachofhachi",[maat- /chof(ot)-li],
1146,maachofotli,"to jump off into, jump down from (of one)",-LI,"maachofotchi, -, -",[maat- /chofot-li],
1147,maachóhbachòosi,"to enlarge, make bigger",-LI/3,"maachóhbachòostiska, maachóhbachòostilka, maachóhbachòostaska",[maat- /cho<h>ba-chi1],
1148,maachókkòoli,to be out and visible (of a heavenly body),,,[maat- /chokoo-li],
1149,maachokòoli,"to appear in the sky, come out (of a heavenly body)",,,[maat- /chokoo-li],
1150,màafa,"over there, that way, towards",,,[/ma-fa],
1151,maafahli,"to flag down with, wave (something) at (someone in the distance)",-LI/CHA-/3,"maafahchi, maafahhili, maafahhachi",[maat- /fah-li],
1152,maafalammi,north wind,,,[maat- /falammi],
1153,maafalammi hasi maatassaliika iⁿhókkìita,northeast,,,[maat- /falammi /hasi maat- /assalii-ka1],
1154,maafalámmi hochiiɬi,"Polaris, North Star",,,[maat- /falam-li /hochiiɬi],
1155,maafatli,to announce publically,-LI/3,"maafatchi, maafathili, maafathachi",[maat- /fat-li],
1156,máafìiko,to be many,-LI,"-, máafìilko, máafìasko",[poss. maa- /fih-ka1],
1157,maafilanka,to be passing by and get off at an exit or turn-off (of one) (as driving down Hwy. 190 and taking the turn-off at the reservation headquarters),-LI,"maafilaⁿiska, -, -",[maat- /filam-ka1],
1158,maafoopachi,to make a noise as of rain coming from a distance,,,[maat- /foopa-chi2],
1159,maahalahka,"to draw a line by reaching, reach for to pull (as for clothes in the back of a closet) (plural objects or repeatedly)",-LI/3,"maahalahiska, maahalahilka, maahalahaska",[maat- /hala<h>t-ka1],
1160,maahaɬapilka cháffàaka,"one measured pace, the length of one step",,,[maat- /haɬap<il>-ka1],
1161,maahaɬka,"to go walking, step out",-LI,"maahaɬiska, maahaɬilka, maahaɬaska",[maat- /haɬ(ap)-ka1],
1162,maahátchàali,"to appear, be out and visible (of a rainbow)",,,[maat- /hachaa-li],
1163,maahicha,"to look out at, open the eyes",Other Verb,,[maat- /hicha],
1164,maahíicha,"to look over in a certain direction, look off in the distance",-LI/CHA-,"maatishíicha, maatilhíicha, maatashíicha",[maat- /hicha],
1165,maahobaski,to grow out (of hair or grass),,,[maat-ho- /baski],
1166,maahòmma,to glow from a distance,,,[maat- /homma],
1167,maahopáhki,far,,,[maat- /hopa<h>ki],
1168,maahoyoopa,"to stand up to, retaliate, fight back when provoked, be testy, touchy",-LI,"maahoyoopatiska, maahoyoopatilka, maahoyoopataska",[maat- /hoyoopa],
1169,maahoyya,to leak (of a house or roof),,,[maat- /hoyya],
1170,maaka,"to be taut, be pulled tight, be stretched tight (of more than one)",,,[/maa(p)-ka1],
1171,máaka,Var. of himàaka,,,,
1172,maakaali,Var. of maakahli,,,,
1173,maakachi,"to be thrown away, divorced, abandoned (of one)",CHA-,,[/maa-ka1],
1174,maakahholi,maakahli,,,,
1175,maakahli,"to leave, abandon, throw away (plural objects)",-LI/CHA-,"maakahchi, maakahhili, maakahhachi",[/maakah-li],
1176,maakalli,to write,-LI/3,"maakalchi, maakalhili, maakalhachi",[maat- /kal(af)-li],
1177,maakaɬàaha,to make a rattling noise in the distance,Other Verb,,[maat- /kaɬàaha],
1178,maakobòolichi,to knock or rap (at the door),Other Verb,,[maat- /kobòo-li-chi2],
1179,maakoɬaama,to be on beyond,Other Verb,,[maat- /koɬa-ma],
1180,maalamatkíichi,"to be the most direct way, shortest route, straightest path",,,[maat- /lamatki-chi1],
1181,maalatka,to take steps forward,-LI,"maalatiska, maalatilka, maalataska",[maat- /lat(as)-ka1],
1182,maalawàasi,"to be increasing, getting to be more",CHA-,,[maat- /lawa-osi],
1183,máali,"to be the same, identical",Other Verb,,,
1184,máali,"to be right, okay, correct, perfect, righteous (of a situation or thing)",Other Verb,,,
1185,maalichi,"to leave, abandon (physically), divorce; to throw off, throw away, drop, discard (one object); to impeach, throw out of office (one person)",-LI/CHA-,"maachichi, maahilichi, maahachichi",[/maa-li-chi1],
1186,máalìichi,"to do something right, do correctly",-LI/3,"máalichìichi, máalihilìichi, máalihachìichi",[/maali-chi1],
1187,máalìichitíkko,Negative form of máalìichi,,,,
1188,máalìichitíkkokáhchi,"one who doesn't do right, wrong-doer",,,[/máali-chi1],
1189,maalimihkáachi,to be shimmering (off in the distance),,,[maat- /limih-ka1],
1190,máalitíkko,Negative form of máali2,,,,
1191,máalitíkkokáhmi,Negative form of máalitíkko,CHA-,,[/máali-tíkko-káhmi],
1192,maalokbáachi,to be heating up (of the air temperature) because the sun is shining,,,[maat- /lokba-chi1],
1193,máaloolo,"to do or be as well, also, too",CHA-,,[/máali-ooli-o1],
1194,maaɬakkila,"to guide, lead somewhere",-LI,"maaɬakkisla, maaɬakkilatilka, maaɬakkilataska",[prob. maat- (/ɬakki) /(i)la],
1195,maaɬohli,"to go after (someone at a distance), chase after",-LI/CHA-,"maaɬohchi, maaɬohhili, maaɬohhachi",[maat- /ɬoh-li],
1196,maaɬooli,Var. of maaɬohli,,,,
1197,maama,"mother, mama",AM-p,,,
1198,maamaachi,Var. of maamaalichi,,,,
1199,maamaalichi,"to throw down, throw (one object) to the ground",-LI/CHA-,"maamaachichi, maamaahilichi, maamaahachichi",[maat- /maa-li-chi1],
1200,maamahli,to blow from,,,[maat- /mah-li],
1201,màami,Var. of máhmi,,,,
1202,máamiima,"maybe, if, perhaps",,,[/má<h>mi-ma],
1203,máamiimok,moreover,,,[/má<h>mi-ma-o1],
1204,máamiimon,however,,,[/má<h>mi-ma-o1],
1205,màamin,"but, on the other hand, however",,,[/má<h>mi-n],
1206,maamisli,to flash (of lightning),,,[maat- /mis(ii)-li],
1207,maamismihli,"to flash, blink like lightning",,,[maat- /mis(ìi)<mih>-li; poss. reduplicated form],
1208,máamòosi,"then, next, and then, so",,,[/má<h>mi-osi],
1209,maamóttàaki,to be visible from a distance,,,[maat- /mottaki],
1210,maanaaɬihilka,"telephone, microphone",,,[maat- /naaɬii<hil>-ka1],
1211,maanaaɬiihilka,Var. of maanaaɬihilka,,,,
1212,maanaaɬiika,"to talk into a microphone, talk on the telephone",-LI/CHA-,"maanaaɬiihiska, maanaaɬiihilka, maanaaɬiihaska",[maat- /naaɬii-ka1],
1213,maanaaɬiilka,Var. of maanaaɬihilka,,,,
1214,maanoopihli,to take out the tonsils; to remove (objects) from the throat of a choking victim,-LI/3,"maanoopihchi, maanoopihhili, maanoopihhachi",[maat-noo- /pih-li],
1215,maanootaɬafka,to take out of the throat (one object); to perform a tonsilectomy on,-LI/CHA-,"maanootaɬafiska, maanootaɬafilka, maanootaɬafaska",[maat-noo- /taɬaf-ka1],
1216,maapaahòkfayok lawahchi,"to add to, increase, multiply",,,[maat-paa- /hokfa-ya-o3],
1217,maapáanàasi,"to be higher up, above some reference point",Other Verb,,[maat- /páana-osi],
1218,maapaatohno,to send (someone) as a messenger to,-LI/CHA-/CHA-; -LI/CHA-/3,"maapaatochihno, maapaatolihno, maapaatohachihno",[maat-paa- -/tohno],
1219,maapáthàasi,to be wider,,,[maat- /patha-osi],
1220,maapiɬka,"to throw down, knock down (one object)",-LI/CHA-,"maapiɬiska, maapiɬilka, maapiɬaska",[maat- /piɬ-ka1],
1221,maapínha,a ways over there,,,[maat- /pínha],
1222,maapka,"to be taut, be pulled tight, be stretched tight (of one)",,,[/maap-ka1],
1223,maapoyatli,"to bubble out, well up",Other Verb,,[maat- /poyat-li],
1224,maapska,mumps,,,[/maaps-ka3],
1225,maashalahka,to pull up or draw something in a container,-LI/3,"maashalahiska, maashalahilka, maashalahaska",[maast- /hala<h>t-ka1],
1226,maasobòotli,to be giving off smoke in the distance,,,[maat- /sobot-li],
1227,maasofka,"to fall at a distance (of more than one), gush out, fall out, overflow, spill over, pour out",,,[maat- /sofi-ka1],
1228,maasofóolìichi,to come making a rustling or shuffling noise,-LI,"maasofóochìichi, maasofóohilìichi, maasofóohachìichi",[maat- /sofòo-li-chi2],
1229,maasóobi,to bend over at the waist,-LI,"maasóobitiska, maasóobitilka, maasóobitaska",[poss. maat- /sobi],
1230,maasoobìichi,"to bend (someone) over, have (someone) bend over at the waist",-LI/CHA-,"maasoobìichitiska, maasoobìichitilka, maasoobìichitaska",[maat- /soobi-chi1],
1231,maasoofi,"to throw out (a liquid, such as dishwater)",-LI/3,"maasoofchi, maasoofhili, maasoofhachi",[prob. maat- /sofi],
1232,maastakinitka,"to peek out of something at, peer out at, peep out at (one object)",-LI/CHA-,"maastakinitiska, maastakinitilka, maastakinitaska",[maast- /akinit-ka1],
1233,maastalàali,"to set out, put (one object) out",-LI/CHA-,"maastalàachi, maastalàahili, maastalàahachi",[maast- /talàa-li],
1234,maastalli,"to set out, put (things) out",-LI/CHA-,"maastalchi, maastalhili, maastalhachi",[maast- /tal(àa)-li],
1235,maastimbakahli,to throw to (someone at a distance),-LI/AM-/3,"maastimbakahchi, maastimbakahhili, maastimbakahhachi",[maast-im- /bakah-li],
1236,maastimoomaakàali,to cast (a line) out for (plural objects),-LI/AM-,"maastimoomaakàachi, maastimoomaakàahili, maastimoomaakàahachi",[maat-ist-im-oo- /maakàa-li],
1237,maastìnka,to pass (food) to (at the table),-LI/AM-/3,"maastìmiska, maastìmilka, maastìmaska",[maast-im- -/ka],
1238,maastinnaaɬìika,"minister, preacher, pastor; messenger; interpreter",,,[maast-im- /naaɬii-ka1],
1239,maastinnaaɬìika imiisa,"parsonage, manse",,,[maast-im- /naaɬii-ka1],
1240,maastinnaaɬìika impaahachàaka,pulpit,,,[maast-im- /naaɬii-ka1],
1241,maastinnaaɬìika iwwìilka,"parsonage, manse",,,[maast-im- /naaɬii-ka1],
1242,maastintohno,"to send (something in a container, such as mail) to",-LI/AM-/3,"maastintochihno, maastintolihno, maastintohachihno",[maat-ist-im- -/tohno],
1243,maastisi,"to reach for, take away, go get, go after (one object in a container)",-LI/CHA-,"maastissi, maastishili, maastishachi",[maat-ist- /isi],
1244,maastohno,"to send (something in a container, such as mail)",-LI/3,"maastochihno, maastolihno, maastohachihno",[maat-ist- -/tohno],
1245,maastolihna,mail; postage stamp,,,[mast- /to<li>hno-a],
1246,maastonkaffichi,to go along covering with dirt (of more than one),Other Verb,,[maat-ist-ona- -/kaf-li-chi2],
1247,maataalka,Var. of maatahalka,,,,
1248,maataalo,Var. of maatahaalo,,,,
1249,maataaɬoyhilka,"bathroom, toilet",,,[maat-aa- /ɬoy<hil>-ka1],
1250,maatàami,"to be lying at a distance, be located (lying) there (of a long object)",Other Verb,,[maat- /tàami; poss. maat- /tami],
1251,maatàasàasi,to be a little more,,,[maat- /asa-osi],
1252,maatàasasi,to be more,,,[maat- /asa-osi],
1253,maatàaya,to go to the bathroom (of one or two),-LI,"maatachìiya, maatalìiya, maataachìiya",[maat- /aya],
1254,maatabalàaka,"to camp out, sleep away from home",-LI,"maatabalàahiska, maatabalàahilka, maatabalàahaska",[maat-a- /balaa-ka1],
1255,maatahaalo,to order (something),-LI/3,"maatahalchi, maatahalhili, maatahalhachi",[maat- /ahalo],
1256,maatahalka,to be ordered,CHA-,,[maat- /ahalo-ka1],
1257,maatakanahli,to move over to a place (of more than one),-LI,"maatakanahchi, maatakanahhili, maatakanahhachi",[maat-a- /kana<h>t-li],
1258,maatakinìika,"to lift the head and look out, peek at, peer at, peep at (plural objects)",-LI/CHA-,"maatakinìihiska, maatakinìihilka, maatakinìihaska",[maat- /akini(t)-ka1],
1259,maatakinitka,"to peek at, peer at from a distance, peep at (one object)",-LI/CHA-,"maatakinitiska, maatakinitilka, maatakinitaska",[maat- /akinit-ka1],
1260,maatalbitìili,to go put another blanket on (as in cold weather),-LI/CHA-,"maatalbitìichi, maatalbitìihili, maatalbitìihachi",[maat- /albitìi-li],
1261,maataɬaplichi,"to reflect off, shine off of (something at a distance)",,,[maat- /aɬap-li-chi1],
1262,maatámbàalòosi,to be a little higher,,,[maat- /abaa-li-osi],
1263,maatanahli,to go down (of more than one),-LI,"-, maatanahhili, maatanahhachi",[maat- /tana<h>t-li],
1264,maatanatli,"to go down, climb down from, get down from (of one), land (as an airplane)",-LI,"maatanatchi, -, -",[maat- /tanat-li],
1265,maatasaachi,to add on to,-LI/3,"maatasaatiska, maatasaatilka, maatasaataska",[maat- /asa-chi1],
1266,maatassaliika,to rise (of the sun),,,[maat- /assalii-ka1],
1267,maatatanatka,"to go around once, circle around once, encircle, surround",-LI/CHA-,"maatatanatiska, maatatanatilka, maatatanataska",[maat- /atanat-ka1],
1268,maatáyyákhàachi,"to be at a distance getting nearer, as in nearing the destination of a trip",-LI/CHA-,"maatáyyákhàachitiska, maatáyyákhàachitilka, maatáyyákhàachitaska",[maat- /ayákha-chi1],
1269,maatáyyákhàachòosi,Var. of maatáyyákhàachi,,,,
1270,maatibi,to hunt,-LI/CHA-,"maatisbi, maatilbi, maathasbi",[maat- /ibi],
1271,maatilba,hunting season (esp. deer season),,,[maat-il- /ibi-a],
1272,maatimaabachi,"to show (someone) how, show the way to",-LI/AM-/3,"maatimaabachiska, maatimaabachilka, maatimaabachaska",[maat-im- /aabachi],
1273,maatimàasa,to gain weight,3/AM-,,[maat-im- /asa],
1274,maatimáasàasi,to gain a little (weight),3/AM-,,[maat-im- /asa-osi],
1275,maatimahaalo,to ask (someone) to bring (something) (e.g. mail order or deliver),-LI/AM-/3,"maatimahalchi, maatimahalhili, maatimahalhachi",[maat-im- /ahalo],
1276,maatimapiila,"to bring aid to, come with help",-LI/AM-/3,"maatimapilchi, maatimapilhili, maatimapilhachi",[maat-im- /apila],
1277,maatimassaliika,to come out into the open to (e.g. an animal appearing to a hunter); to meet coming from another direction to the side (not head on) (of one); to bring a secret or an opinion out into the open to,-LI/AM-,"maatimassaliihiska, -, -",[maat-im- /assalii-ka1],
1278,maatimassaliilichi,"to make come out into the open for, flush an animal while hunting",-LI/AM-,"maatimassaliichichi, maatimassaliihilichi, maatimassaliihachichi",[maat-im- /assalii-li-chi2],
1279,maatimbiɬìili,"to point out the way to, show the way",-LI/AM-/3,"maatimbiɬìichi, maatimbiɬìihili, maatimbiɬìihachi",[maat-im- /biɬii-li],
1280,maatimibachasàaka,"to have something extended for one, especially have a time period extended, get an extension",3/AM-,,[maat-im- /ibachasaa-ka1],
1281,maatimiikáachi,for there to be thunder or a rumbling noise in the distance,,,[maat-im- /timii-ka1],
1282,maatimimihkáachi,for there to be thunder or a rumbling noise in the distance,,,[maat- /timi<mih>-ka1],
1283,maatimmaachi,Var. of maatimmaalichi,,,,
1284,maatimmaalichi,to throw to (one object),-LI/AM-/3,"maatimmaachichi, maatimmaahilichi, maatimmaahachichi",[maat-im- /maa-li-chi1],
1285,maatimmisli,"to give someone a funny look, look askance at",-LI/AM-,"maatimmissi, maatimmishili, maatimmishachi",[maat-im- /mis(ii)-li],
1286,maatiⁿháalo,to hear from,-LI/AM-,"maatimisháalo, maatimilháalo, maatimhasháalo",[maat-im- /háalo],
1287,maatiⁿhosso,to write to (someone at a distance),-LI/AM-,"maatiⁿhochisso, maatiⁿholisso, maatiⁿhohachisso",[maat-im- /hosso],
1288,maatiⁿhoyoopa,"to turn on and fight, get after when provoked (as an animal when cornered), retaliate against",-LI/AM-,"maatiⁿhoyoopatiska, maatiⁿhoyoopatilka, maatiⁿhoyoopataska",[maat-im- /hoyoopa],
1289,maatinkalli,to write (something) to,-LI/AM-/3,"maatinkalchi, maatinkalhili, maatinkalhachi",[maat-im- /kal(af)-li],
1290,maatinkootka,"to whistle to, whistle at",-LI/AM-,"maatinkootiska, maatinkootilka, maatinkootaska",[maat-im- /koot-ka1],
1291,maatinnaaɬiika,"to talk to (on the telephone), telephone; to answer the telephone",-LI/AM-,"maatinnaaɬiihiska, maatinnaaɬiihilka, maatinnaaɬiihaska",[maat-im- /naaɬii-ka1],
1292,maatintohno,to send (something) to,-LI/AM-/3,"maatintochihno, maatintolihno, maatintohachihno",[maat-im- -/tohno],
1293,maatisi,"to reach for; to go get, go after (one object)",-LI/CHA-,"maatissi, maatishili, maatishachi",[maat- /isi],
1294,maatittapaanaɬka,"to multiply, increase (of one group)",-LI,"-, maatittapaanaɬilka, maatittapaanaɬaska",[maat-itta- /paanaɬ(i)-ka1],
1295,maatittibi,"to fight back, retaliate",-LI/3,"maatittisbi, maatittilbi, maatittihasbi",[maat-itti- /(i)bi],
1296,maatiwwayàali,to wave to from a distance,-LI/AM-,"maatiwwayàachi, maatiwwayàahili, maatiwwayàahachi",[maat-im- /wayaa-li],
1297,maatiyyokíwwo,Negative form of maatiyyowwa,,,,
1298,maatiyyowwa,"to call (someone) over a distance, call on the telephone",-LI/AM-,"maatiyyochiwwa, maatiyyoliwwa, maatiyyohachiwwa",[maat-im- /yowwa],
1299,maatohno,to send,-LI/CHA-,"maatochihno, maatolihno, maatohachihno",[maat- -/tohno],
1300,maatokaamaali,Var. of maatokaamahli,,,,
1301,maatokaamahli,"south, south wind",,,[maat- /oki aa- /mah-li],
1302,maatokchákko,to get bluer (as the sky),CHA-,,[maat- /okchakko],
1303,maatokíhno,Negative form of maatohno,,,,
1304,maatokoochi,to draw water from a well,-LI/3,"maatokootiska, maatokootilka, maatokootaska",[maat- /okoochi],
1305,maatolaachi,to ring (of the telephone),,,[maat- /ola-chi1],
1306,maatolfa,to grow back in (of hair or grass),,,,
1307,maatolihno,to be sent,CHA-,,[maat- -/to<li>hno],
1308,maatonaati,"to stoke a fire, add wood to a fire",-LI/3,"maatonaasti, maatonaalti, maatonaahasti",[maat- /onaati],
1309,maatoochoffi,"to jump into water from a height, high dive (more than once)",-LI,"maatoochofchi, maatoochofhili, maatoochofhachi",[maat-oo- /chof(ot)-li],
1310,maatoochofotli,"to jump into water from a height, high dive (once)",-LI,"maatoochofotchi, maatoochofothili, maatoochofothachi",[maat-oo- /chofot-li],
1311,maatoomaalichi,"to lower, throw in (one object)",-LI/CHA-,"maatoomaachichi, maatoomaahilichi, maatoomaahachichi",[maat-oo- /maa-li-chi1],
1312,maatoopiɬka,to lower (one object) to the ground,-LI/CHA-,"maatoopiɬiska, maatoopiɬilka, maatoopiɬaska",[maat-oo- /piɬ-ka1],
1313,maawakla,"to have a large enough space between two things that it can be seen through or seen from the outside, such as a chink in the wall",Other Verb,,[maat- /wakla],
1314,maawayàali,to wave at a distance,-LI/3,"maawayàachi, maawayàahili, maawayàahachi",[maat- /wayàa-li],
1315,maawàyli,"to be sticking out in front, hanging out, hanging down (as a tree branch)",Other Verb,,[poss. maat- /way(àa)-li],
1316,maawihli,"to go look for, go search for",-LI/CHA-,"maawihchi, maawihhili, maawihhachi",[maat- /wihli],
1317,maawininihkáachi,to be making a rumbling noise in the distance (as thunder),,,[maat- /wininih-ka$-chi2],
1318,maayanatli,to ooze out (as of sap),Other Verb,,[maat- /yanat-li],
1319,macháⁿhkàssi,"to be by himself/herself/itself, single",Other Verb,,[ma- /cháⁿhka-osi-hchi],
1320,Màchka,month of March,,,[/mach-ka3],
1321,máffìina,apparently,,,,
1322,máffìinaamon,real,,,[/ma-fíhna-ma-o1],
1323,mafíhna,"to be real, true",,,[poss. /ma-fíhna],
1324,mafíina,Var. of mafíhna,,,,
1325,mafíinàasi,"truthfully, seriously, honestly",,,[/ma- /fíhna-osi],
1326,mafíinamon,to use the right hand,,,[/ma- /fíhna-ma-o3],
1327,máhchóot ommoolo,maybe,,,[/má<h>mi-hchi-ooli-t /om-li-ooli-o3],
1328,máhhàasi,to be earlier,,,[/ma-ha4],
1329,máhko,Negative form of mahli,,,,
1330,mahli,wind,,,[/mah-li],
1331,mahlikánko,"tornado, whirlwind, bad windstorm",,,[/mah-li /kano-ki-o2],
1332,mahlimoolo,to be windy,,,[/mah-li-ma-ooli-o3],
1333,mahlitíkko,Negative form of mahli,,,,
1334,mahlosi,for there to be a little breeze,,,[/mah-li-osi],
1335,máhmi,"to be like, do like, happen that way",-LI,"máhchi, máhhili, máhchi",[/ma<h>mi],
1336,máhtik,"but, yet",,,[/má<h>mi-tika],
1337,makàali,to open the eye,-LI,"makàachi, makàahili, makàahachi",[/makàa-li],
1338,makasli,to open the eyes (of more than one),-LI,"-, makashili, makashachi",[/makàa<s>-li],
1339,malli,"to flash, blink, wink (of light)",,,,
1340,malmáami,Var. of málmáhmi,,,,
1341,málmàhmi,"to be a certain way, be like that, be the same way, do the same thing as someone, imitate someone",-LI,"málmàhmitiska, málmàhmitilka, málmàhmitaska",[/ma<l> /má<h>mi (?)],
1342,maɬaali,Var. of maɬahli,,,,
1343,maɬahli,"to be wild, scared (of several)",CHA-,,[/maɬa<h>t-li],
1344,maɬatka,danger,,,[/maɬat-ka1],
1345,maɬátko,Negative form of maɬatli,,,,
1346,maɬátkotilka,fearlessness,,,[/maɬat-ki-o2],
1347,maɬatli,to be wild; to be scared,CHA-,,[/maɬat-li],
1348,maɬatlichi,"to scare, frighten, startle",-LI/CHA-,"maɬatchichi, maɬathilichi, maɬathachichi",[/maɬat-li-chi1],
1349,máɬɬi,only that one,,,[/ma-áɬɬi],
1350,má! má!,"look out!, watch out, hey!, wait! there!",,,,
1351,mamíhchi,"to do that way (as previously mentioned), do as indicated, do as expected, succeed at",-LI,"manchíhchi, maⁿhilíhchi, maⁿhachíhchi",[/mami<h>-chi1],
1352,maⁿhholíhchi,mamíhchi,,,,
1353,maⁿhoka,manka,,,,
1354,maⁿíkko,Negative form of manka,,,,
1355,manka,"to say, ask",-LI/3,"maiⁿska, maiⁿlka, maaⁿska",[prob. /mam-ka1],
1356,mankíhcho,Negative form of mamíhchi,,,,
1357,mànko,Negative form of máhmi,,,,
1358,màpka,mop,,,[/map-ka3],
1359,Maskooki,Muskogee (Creek) Indian,,,,
1360,masnaaɬiilka,"microphone, telephone",,,[maast- /naaɬii<il>-ka1],
1361,masta,mustard,,,,
1362,mastinnaaɬìika,Var. of maastinnaaɬìika,,,,
1363,mastinnaaɬìika impaawìilka,pulpit,,,[maast-im- /naaɬii-ka1],
1364,mastolihna,Var. of maastolihna,,,,
1365,mastoliina,Var. of maastolihna,,,,
1366,mastoliino,Var. of maastolihna,,,,
1367,mastonkayapka,"to cover up with dirt using the foot, plant by covering seeds using the foot",-LI/3,"mastonkayapiska, mastonkayapilka, mastonkayapaska",[maast- -/onkayap-ka1],
1368,mastoono,Var. of maastohno,,,,
1369,mattaki,Var. of mottaki,,,,
1370,mayóoba,"luckily, fortunately; to be timely, be in time",,,,
1371,mayóobaama,"opportunity, chance (to get something)",,,[/mayóoba-ma],
1372,mayóobatíkko,Negative form of mayóoba,,,,
1373,Meyka,month of May,,,[/mey-ka3],
1374,michaaya,"far away, beyond",,,,
1375,mìisli,to be blinking off and on repeatedly,-LI,"mìischi, mìishili, mìishachi",[/mis(ii)-li],
1376,mikko,"chief; queen, king, ruler, president, leader",AM-,,,
1377,mikkochi,to elect a chief (of a group),-LI,"mikkochiska, mikkochilka, mikkochaska",[/mikko-chi1],
1378,mikkochilka,"selecting a chief, vote for chief",,,[/mikko-chi1],
1379,mikko chóhbaama,"first chief, chairperson, president, head",,,[/mikko /cho<h>ba-ma],
1380,mikkofíino,"first chief, chairperson, president, head",,,[/mikko /fíhna-o1],
1381,mikko istatòkla,"second chief, vice president",,,[/mikko ist- /atókla],
1382,mikko istimatòkla,"second chief, vice president",,,[/mikko ist-im- /atòkla],
1383,mikkotilka,"chieftancy, office of chief",,,[/mikko-tilka],
1384,miɬihkachi,to be grated,,,[/miɬih-ka1],
1385,miɬihlichi,to grate,-LI/3,"miɬihchichi, miɬihhilichi, miɬihhachichi",[/miɬih-li-chi2],
1386,miɬiikachi,Var. of miɬihkachi,,,,
1387,miɬiilichi,Var. of miɬihlichi,,,,
1388,miɬɬi,"to be bruised, scraped, have abrasions",CHA-,,[/miɬ(of)-li],
1389,miɬɬichi,"to scrape, abrade, rub off (plural objects)",-LI/CHA-,"miɬchichi, miɬhilichi, miɬhachichi",[/miɬ(of)-li-chi1],
1390,miɬoffi,"to be bruised, scraped, have an abrasion (of a body part)",CHA-,,[/miɬof-li],
1391,miɬoffichi,"to scrape, abrade, rub off (one object)",-LI/CHA-,"miɬofchichi, miɬofhilichi, miɬofhachichi",[/miɬof-li-chi1],
1392,mìnta,"another, other, else, different one, another one",,,[sic] nita hoɬòolit nákson tàalon Bikɬikitkáhokáhchoolo.,
1393,mìntako,"to be last (i.e. previous), former",,,[/mìnta-ka2],
1394,mìntama,"next, subsequent",,,[/mìnta-ma],
1395,minti,to come,Other Verb,,,
1396,misìili,"to blink, wink, close the eyes (once)",-LI,"misìichi, misìihili, misìihachi",[/misii-li],
1397,misíiⁿlòosi,"to squint, just about close the eyes (once)",-LI,"misíiⁿlòostiska, misíiⁿlòostilka, misíiⁿlòostaska",[/misii-li-osi],
1398,misli,"to blink, wink, close the eyes repeatedly",-LI,"missi, mishili, mishachi",[/mis(ii)-li],
1399,mislichi,to make someone blink (repeatedly),-LI/CHA-,"missichi, mishilichi, mishachichi",[/mis(ii)-li-chi1],
1400,mismihli,"to blink the eyes, flutter eyelids; to flash repeatedly (of lightning)",-LI,"mismihchi, mismihhili, mismihhachi",[reduplicated form of /misìi-li (?)],
1401,míssìili,to have the eyes closed,-LI,"míssìichi, míssìihili, míssìihachi",,
1402,míssìiⁿlòosi,"to squint, just about close the eyes",-LI,"míssìiⁿlòostiska, míssìiⁿlòostilka, míssìiⁿlòostaska",[/misii-li-osi],
1403,mìyya,scar,AM-p,,,
1404,mobìlka,"car, automobile",,,[/mobil-ka3],
1405,mobìlka aatalibòoka,garage,,,[/mobil-ka3],
1406,mobìlka aayittimayya,"automobile race track, stock car race track, drag strip",,,[/mobil-ka3],
1407,mobìlka chokookachi,parking lot,,,[/mobil-ka3],
1408,mobìlka imaachiika,parking lot,,,[/mobil-ka3],
1409,mobìlka imiisa,garage,,,[/mobil-ka3],
