,Alabama,English,Class
1019,lapcho,"earthworm, fishing worm, nightcrawler",
1020,lapchola,leech,
1021,lapihchi,spoon,
1022,lapihchichoba,"spoon (large), serving spoon; tablespoon (measure)",
1023,lapihchi oolimpa istakka,"serving spoon, tablespoon",
1024,lapihchosi,"spoon, teaspoon",
1025,lapischichoba,Var. of lapihchichoba,
1026,lapischoba,Var. of lapihchichoba,
1027,lapitta,buck deer,
1028,lapla,cricket mole,
1029,láppàali,"to be next to, near (of one)",-LI
1030,lasapka,"to taste, sip, lick once",-LI/3
1031,lasíkko,Negative form of laska,
1032,laska,"to lick repeatedly (esp. as an animal), lap up",-LI/3
1033,lataska,to kick; to step once,-LI/CHA-
1034,lathoka,Var. of latoka,
1035,latíkko,Negative form of latka,
1036,latka,"to step, take steps",-LI
1037,latla,Var. of lapla,
1038,latoka,Var: lathoka,
1039,lawa,"to be lots, many, a lot",Other Verb
1040,lawafìino,to be too much,
1041,lawwatanòoka,"to multiply, gain",
1042,lawwi,to be loud,CHA-
1043,layki,"excrement, feces, waste",
1044,laykitonòolichi,dung beetle,
1045,libàali,"to cook, bake; to burn (of more than one subject or object)",-LI/3
1046,libatíkko,Negative form of libatka,
1047,libatka,"to be cooked, done; to get burned",CHA-
1048,libátko,Negative form of libatli,
1049,libatli,"to cook, bake (one); to burn (one thing)",-LI/CHA-
1050,liikka,lake; leak,
1051,likitilka,anger,
1052,likitka,to fuss,-LI
1053,limichko,to be shiny and smooth,
1054,limichkochi,to polish to a shine,-LI/3
1055,limìhkachi,"to give off shimmering waves of light (esp. as a heat mirage or tinfoil), shine, glisten, sparkle, glitter, radiate",
1056,limihko,Var. of limichko,
1057,limíhko,to be smoother,
1058,limithoka,Var. of limitoka,
1059,limitka,to swallow once; to cause an eclipse (of the moon or sun),-LI/3
1060,limitoka,Var: limithoka,
1061,limliki,"to be shiny, dappled, spotted; to ripple, shimmer",
1062,limonka,lemon,
1063,limonka okchikaskaha,lemonade,
1064,linka,to swallow (more than once),-LI/3
1065,lipha,"to be fine in texture, soft (as cured hide) or mushy (as overripe fruit), powdery, fine (of hair)",Other Verb
1066,liphachi,"to cure (leather), tan (hide); to grind up fine, crush to powder, pulverize",-LI/3
1067,liphachitíkko,Negative form of liphachi,
1068,liphachitoka,liphachi,
1069,lipti,"largest of the catfish, flathead catfish, `appaloosa' catfish",
1070,lisilka,"to be beaten, defeated",CHA-
1071,liska,"to beat, whip, spank; to pound, squeeze open in a vice; to gradually flatten, beat down flat",
1072,lisoka,liska,
1073,litihíkko,Negative form of litihko,
1074,litihilka,filth,
1075,litihko,"to be dirty, filthy",CHA-
1076,litihkochi,"to get (one's body) dirty, make dirty",-LI/CHA-
1077,litihkochitíkko,Negative form of litihkochi,
1078,litihkotilka,filth,
1079,litiíkko,Var. of litihíkko,
1080,litti,Var. of lipti,
1081,líttihko,to be a little dirty,CHA-
1082,liwaali,Var. of liwahli,
1083,liwahli,"to have a rash (on a part of the body), be broken out, have a skin eruption, have open sores all over",3/AM-
1084,liwahlichi,"to cause a rash on, make (someone) break out",3/CHA-
1085,Liwisti,"Livingston, Texas",
1086,locha,"to be black, dark",CHA-
1087,lochaachi,Var. of lochachi,
1088,lochachi,to blacken,-LI/3
1089,lochatíkko,Negative form of locha,
1090,lokaacha,orphan,
1091,lokba,"to be hot (as of the weather), summer",Other Verb
1092,lokbáachi,to keep (someone) warm,-LI/CHA-
1093,lokbáahaako,last year,
1094,lokbáahaama,next year,
1095,lokbachi,to be shining (of the sun),
1096,lokbachitíkko,Negative form of lokbachi,
1097,lokbaha,"year, summer, springtime",
1098,lokbahaakítto,last year,
1099,lokbahachóoba ostistanooka,last day of December,
1100,lokbahaháhpa,New Year's day; January,
1101,lokbáhastanóoka,December,
1102,lokba issobayka,thermometer,
1103,lokba sáhmòosi issobayka,thermometer,
1104,lòkbassoba,"heat wave, extreme heat",
1105,lokbassobayka,Var. of lokba issobayka,
1106,lokìkbo,Negative form of lokba,
1107,lókkolìichi,"to make (plural objects) stand up, have standing upright; to own, have (things that are upright, such as buildings)",-LI/CHA-
1108,lókkòoka,Var. of lókkòoli,
1109,lókkòoli,"to be standing upright, be set up vertically (of more than one)",-LI
1110,lokòoka,meeting,
1111,lokòoli,"to stand up (of more than one), assume a standing position; to meet, gather, organize as a group; to take office, assume a position, be installed in office; to stick out (of the ears)",-LI
1112,lokoolichi,to elect (more than one),-LI/CHA-
1113,lomhi,to hide (something/someone),-LI/CHA-
1114,lomhitíkko,Negative form of lomhi,
1115,lomholi,lomhi,
1116,lommi,Var. of lomhi,
1117,loⁿhoka,lonka,
1118,loⁿíkko,Negative form of lonka,
1119,lonka,"to hide oneself, be hidden",-LI
1120,lónko,Negative form of lomhi,
1121,lòobo,to be smooth,Other Verb
1122,lòobosi,minnow,
1123,loocha,"black person, African-American",
1124,loocha nipihómma,"half-breed, part black and Indian",
1125,loochasi,black child,
1126,lookalasa,Var. of ookalasa,
1127,lóokba,to be getting hotter,
1128,lóomhi,to be hiding (something),-LI/CHA-
1129,lóomhit naaɬiika,to whisper,-LI
1130,lóomhòosit naaɬiika,"to talk low, talk softly, whisper",-LI
1131,Loosiyaana,Louisiana,
1132,losíkko,Negative form of loska,
1133,losilka,"lie, prevarication",
1134,loska,"to lie, tell a lie",-LI
1135,loskachi,to make (someone) lie; to lie for,-LI/CHA-
1136,loskachiichi,to make (someone) lie; to lie for,Other Verb
1137,ma,that way; that one (distal; previously mentioned),
1138,maabàali,Var. of maabahàali,
1139,maabàalka,to be lying at a distance (of more than one),-LI
1140,maabahàali,to push (plural objects) away or toward,-LI/CHA-
1141,maabállàaka,to be lying at a distance (of one),-LI
1142,maabatli,to knock (more than once) at the door,-LI/CHA-
1143,maabinafka,to erode and collapse,
1144,maachi,Var. of maalichi,
1145,maachoffi,to jump down from (of more than one),-LI
1146,maachofotli,"to jump off into, jump down from (of one)",-LI
1147,maachóhbachòosi,"to enlarge, make bigger",-LI/3
1148,maachókkòoli,to be out and visible (of a heavenly body),
1149,maachokòoli,"to appear in the sky, come out (of a heavenly body)",
1150,màafa,"over there, that way, towards",
1151,maafahli,"to flag down with, wave (something) at (someone in the distance)",-LI/CHA-/3
1152,maafalammi,north wind,
1153,maafalammi hasi maatassaliika iⁿhókkìita,northeast,
1154,maafalámmi hochiiɬi,"Polaris, North Star",
1155,maafatli,to announce publically,-LI/3
1156,máafìiko,to be many,-LI
1157,maafilanka,to be passing by and get off at an exit or turn-off (of one) (as driving down Hwy. 190 and taking the turn-off at the reservation headquarters),-LI
1158,maafoopachi,to make a noise as of rain coming from a distance,
1159,maahalahka,"to draw a line by reaching, reach for to pull (as for clothes in the back of a closet) (plural objects or repeatedly)",-LI/3
1160,maahaɬapilka cháffàaka,"one measured pace, the length of one step",
1161,maahaɬka,"to go walking, step out",-LI
1162,maahátchàali,"to appear, be out and visible (of a rainbow)",
1163,maahicha,"to look out at, open the eyes",Other Verb
1164,maahíicha,"to look over in a certain direction, look off in the distance",-LI/CHA-
1165,maahobaski,to grow out (of hair or grass),
1166,maahòmma,to glow from a distance,
1167,maahopáhki,far,
1168,maahoyoopa,"to stand up to, retaliate, fight back when provoked, be testy, touchy",-LI
1169,maahoyya,to leak (of a house or roof),
1170,maaka,"to be taut, be pulled tight, be stretched tight (of more than one)",
1171,máaka,Var. of himàaka,
1172,maakaali,Var. of maakahli,
1173,maakachi,"to be thrown away, divorced, abandoned (of one)",CHA-
1174,maakahholi,maakahli,
1175,maakahli,"to leave, abandon, throw away (plural objects)",-LI/CHA-
1176,maakalli,to write,-LI/3
1177,maakaɬàaha,to make a rattling noise in the distance,Other Verb
1178,maakobòolichi,to knock or rap (at the door),Other Verb
1179,maakoɬaama,to be on beyond,Other Verb
1180,maalamatkíichi,"to be the most direct way, shortest route, straightest path",
1181,maalatka,to take steps forward,-LI
1182,maalawàasi,"to be increasing, getting to be more",CHA-
1183,máali,"to be the same, identical",Other Verb
1184,máali,"to be right, okay, correct, perfect, righteous (of a situation or thing)",Other Verb
1185,maalichi,"to leave, abandon (physically), divorce; to throw off, throw away, drop, discard (one object); to impeach, throw out of office (one person)",-LI/CHA-
1186,máalìichi,"to do something right, do correctly",-LI/3
1187,máalìichitíkko,Negative form of máalìichi,
1188,máalìichitíkkokáhchi,"one who doesn't do right, wrong-doer",
1189,maalimihkáachi,to be shimmering (off in the distance),
1190,máalitíkko,Negative form of máali2,
1191,máalitíkkokáhmi,Negative form of máalitíkko,CHA-
1192,maalokbáachi,to be heating up (of the air temperature) because the sun is shining,
1193,máaloolo,"to do or be as well, also, too",CHA-
1194,maaɬakkila,"to guide, lead somewhere",-LI
1195,maaɬohli,"to go after (someone at a distance), chase after",-LI/CHA-
1196,maaɬooli,Var. of maaɬohli,
1197,maama,"mother, mama",
1198,maamaachi,Var. of maamaalichi,
1199,maamaalichi,"to throw down, throw (one object) to the ground",-LI/CHA-
1200,maamahli,to blow from,
1201,màami,Var. of máhmi,
1202,máamiima,"maybe, if, perhaps",
1203,máamiimok,moreover,
1204,máamiimon,however,
1205,màamin,"but, on the other hand, however",
1206,maamisli,to flash (of lightning),
1207,maamismihli,"to flash, blink like lightning",
1208,máamòosi,"then, next, and then, so",
1209,maamóttàaki,to be visible from a distance,
1210,maanaaɬihilka,"telephone, microphone",
1211,maanaaɬiihilka,Var. of maanaaɬihilka,
1212,maanaaɬiika,"to talk into a microphone, talk on the telephone",-LI/CHA-
1213,maanaaɬiilka,Var. of maanaaɬihilka,
1214,maanoopihli,to take out the tonsils; to remove (objects) from the throat of a choking victim,-LI/3
1215,maanootaɬafka,to take out of the throat (one object); to perform a tonsilectomy on,-LI/CHA-
1216,maapaahòkfayok lawahchi,"to add to, increase, multiply",
1217,maapáanàasi,"to be higher up, above some reference point",Other Verb
1218,maapaatohno,to send (someone) as a messenger to,-LI/CHA-/CHA-; -LI/CHA-/3
1219,maapáthàasi,to be wider,
1220,maapiɬka,"to throw down, knock down (one object)",-LI/CHA-
1221,maapínha,a ways over there,
1222,maapka,"to be taut, be pulled tight, be stretched tight (of one)",
1223,maapoyatli,"to bubble out, well up",Other Verb
1224,maapska,mumps,
1225,maashalahka,to pull up or draw something in a container,-LI/3
1226,maasobòotli,to be giving off smoke in the distance,
1227,maasofka,"to fall at a distance (of more than one), gush out, fall out, overflow, spill over, pour out",
1228,maasofóolìichi,to come making a rustling or shuffling noise,-LI
1229,maasóobi,to bend over at the waist,
1230,maasoobìichi,"to bend (someone) over, have (someone) bend over at the waist",-LI/CHA-
1231,maasoofi,"to throw out (a liquid, such as dishwater)",-LI/3
1232,maastakinitka,"to peek out of something at, peer out at, peep out at (one object)",-LI/CHA-
1233,maastalàali,"to set out, put (one object) out",-LI/CHA-
1234,maastalli,"to set out, put (things) out",-LI/CHA-
1235,maastimbakahli,to throw to (someone at a distance),-LI/AM-/3
1236,maastimoomaakàali,to cast (a line) out for (plural objects),-LI/AM-
1237,maastìnka,to pass (food) to (at the table),-LI/AM-/3
1238,maastinnaaɬìika,"minister, preacher, pastor; messenger; interpreter",
1239,maastinnaaɬìika imiisa,"parsonage, manse",
1240,maastinnaaɬìika impaahachàaka,pulpit,
1241,maastinnaaɬìika iwwìilka,"parsonage, manse",
1242,maastintohno,"to send (something in a container, such as mail) to",-LI/AM-/3
1243,maastisi,"to reach for, take away, go get, go after (one object in a container)",-LI/CHA-
1244,maastohno,"to send (something in a container, such as mail)",-LI/3
1245,maastolihna,mail; postage stamp,
1246,maastonkaffichi,to go along covering with dirt (of more than one),Other Verb
1247,maataalka,Var. of maatahalka,
1248,maataalo,Var. of maatahaalo,
1249,maataaɬoyhilka,"bathroom, toilet",
1250,maatàami,"to be lying at a distance, be located (lying) there (of a long object)",Other Verb
1251,maatàasàasi,to be a little more,
1252,maatàasasi,to be more,
1253,maatàaya,to go to the bathroom (of one or two),
1254,maatabalàaka,"to camp out, sleep away from home",-LI
1255,maatahaalo,to order (something),-LI/3
1256,maatahalka,to be ordered,CHA-
1257,maatakanahli,to move over to a place (of more than one),-LI
1258,maatakinìika,"to lift the head and look out, peek at, peer at, peep at (plural objects)",-LI/CHA-
1259,maatakinitka,"to peek at, peer at from a distance, peep at (one object)",-LI/CHA-
1260,maatalbitìili,to go put another blanket on (as in cold weather),-LI/CHA-
1261,maataɬaplichi,"to reflect off, shine off of (something at a distance)",
1262,maatámbàalòosi,to be a little higher,
1263,maatanahli,to go down (of more than one),-LI
1264,maatanatli,"to go down, climb down from, get down from (of one), land (as an airplane)",-LI
1265,maatasaachi,to add on to,-LI/3
1266,maatassaliika,to rise (of the sun),
1267,maatatanatka,"to go around once, circle around once, encircle, surround",-LI/CHA-
1268,maatáyyákhàachi,"to be at a distance getting nearer, as in nearing the destination of a trip",-LI/CHA-
1269,maatáyyákhàachòosi,Var. of maatáyyákhàachi,
1270,maatibi,to hunt,-LI/CHA-
1271,maatilba,hunting season (esp. deer season),
1272,maatimaabachi,"to show (someone) how, show the way to",-LI/AM-/3
1273,maatimàasa,to gain weight,3/AM-
1274,maatimáasàasi,to gain a little (weight),3/AM-
1275,maatimahaalo,to ask (someone) to bring (something) (e.g. mail order or deliver),-LI/AM-/3
1276,maatimapiila,"to bring aid to, come with help",-LI/AM-/3
1277,maatimassaliika,to come out into the open to (e.g. an animal appearing to a hunter); to meet coming from another direction to the side (not head on) (of one); to bring a secret or an opinion out into the open to,-LI/AM-
1278,maatimassaliilichi,"to make come out into the open for, flush an animal while hunting",-LI/AM-
1279,maatimbiɬìili,"to point out the way to, show the way",-LI/AM-/3
1280,maatimibachasàaka,"to have something extended for one, especially have a time period extended, get an extension",3/AM-
1281,maatimiikáachi,for there to be thunder or a rumbling noise in the distance,
1282,maatimimihkáachi,for there to be thunder or a rumbling noise in the distance,
1283,maatimmaachi,Var. of maatimmaalichi,
1284,maatimmaalichi,to throw to (one object),-LI/AM-/3
1285,maatimmisli,"to give someone a funny look, look askance at",
1286,maatiⁿháalo,to hear from,-LI/AM-
1287,maatiⁿhosso,to write to (someone at a distance),-LI/AM-
1288,maatiⁿhoyoopa,"to turn on and fight, get after when provoked (as an animal when cornered), retaliate against",-LI/AM-
1289,maatinkalli,to write (something) to,-LI/AM-/3
1290,maatinkootka,"to whistle to, whistle at",-LI/AM-
1291,maatinnaaɬiika,"to talk to (on the telephone), telephone; to answer the telephone",-LI/AM-
1292,maatintohno,to send (something) to,-LI/AM-/3
1293,maatisi,"to reach for; to go get, go after (one object)",-LI/CHA-
1294,maatittapaanaɬka,"to multiply, increase (of one group)",-LI
1295,maatittibi,"to fight back, retaliate",-LI/3
1296,maatiwwayàali,to wave to from a distance,-LI/AM-
1297,maatiyyokíwwo,Negative form of maatiyyowwa,
1298,maatiyyowwa,"to call (someone) over a distance, call on the telephone",-LI/AM-
1299,maatohno,to send,-LI/CHA-
1300,maatokaamaali,Var. of maatokaamahli,
1301,maatokaamahli,"south, south wind",
1302,maatokchákko,to get bluer (as the sky),CHA-
1303,maatokíhno,Negative form of maatohno,
1304,maatokoochi,to draw water from a well,-LI/3
1305,maatolaachi,to ring (of the telephone),
1306,maatolfa,to grow back in (of hair or grass),
1307,maatolihno,to be sent,CHA-
1308,maatonaati,"to stoke a fire, add wood to a fire",-LI/3
1309,maatoochoffi,"to jump into water from a height, high dive (more than once)",-LI
1310,maatoochofotli,"to jump into water from a height, high dive (once)",-LI
1311,maatoomaalichi,"to lower, throw in (one object)",-LI/CHA-
1312,maatoopiɬka,to lower (one object) to the ground,-LI/CHA-
1313,maawakla,"to have a large enough space between two things that it can be seen through or seen from the outside, such as a chink in the wall",Other Verb
1314,maawayàali,to wave at a distance,-LI/3
1315,maawàyli,"to be sticking out in front, hanging out, hanging down (as a tree branch)",Other Verb
1316,maawihli,"to go look for, go search for",-LI/CHA-
1317,maawininihkáachi,to be making a rumbling noise in the distance (as thunder),
1318,maayanatli,to ooze out (as of sap),Other Verb
1319,macháⁿhkàssi,"to be by himself/herself/itself, single",Other Verb
1320,Màchka,month of March,
1321,máffìina,apparently,
1322,máffìinaamon,real,
1323,mafíhna,"to be real, true",
1324,mafíina,Var. of mafíhna,
1325,mafíinàasi,"truthfully, seriously, honestly",
1326,mafíinamon,to use the right hand,
1327,máhchóot ommoolo,maybe,
1328,máhhàasi,to be earlier,
1329,máhko,Negative form of mahli,
1330,mahli,wind,
1331,mahlikánko,"tornado, whirlwind, bad windstorm",
1332,mahlimoolo,to be windy,
1333,mahlitíkko,Negative form of mahli,
1334,mahlosi,for there to be a little breeze,
1335,máhmi,"to be like, do like, happen that way",-LI
1336,máhtik,"but, yet",
1337,makàali,to open the eye,-LI
1338,makasli,to open the eyes (of more than one),-LI
1339,malli,"to flash, blink, wink (of light)",
1340,malmáami,Var. of málmáhmi,
1341,málmàhmi,"to be a certain way, be like that, be the same way, do the same thing as someone, imitate someone",-LI
1342,maɬaali,Var. of maɬahli,
1343,maɬahli,"to be wild, scared (of several)",
1344,maɬatka,danger,
1345,maɬátko,Negative form of maɬatli,
1346,maɬátkotilka,fearlessness,
1347,maɬatli,to be wild; to be scared,CHA-
1348,maɬatlichi,"to scare, frighten, startle",-LI/CHA-
1349,máɬɬi,only that one,
1350,má! má!,"look out!, watch out, hey!, wait! there!",
1351,mamíhchi,"to do that way (as previously mentioned), do as indicated, do as expected, succeed at",-LI
1352,maⁿhholíhchi,mamíhchi,
1353,maⁿhoka,manka,
1354,maⁿíkko,Negative form of manka,
1355,manka,"to say, ask",
1356,mankíhcho,Negative form of mamíhchi,
1357,mànko,Negative form of máhmi,
1358,màpka,mop,
1359,Maskooki,Muskogee (Creek) Indian,
1360,masnaaɬiilka,"microphone, telephone",
1361,masta,mustard,
1362,mastinnaaɬìika,Var. of maastinnaaɬìika,
1363,mastinnaaɬìika impaawìilka,pulpit,
1364,mastolihna,Var. of maastolihna,
1365,mastoliina,Var. of maastolihna,
1366,mastoliino,Var. of maastolihna,
1367,mastonkayapka,"to cover up with dirt using the foot, plant by covering seeds using the foot",-LI/3
1368,mastoono,Var. of maastohno,
1369,mattaki,Var. of mottaki,
1370,mayóoba,"luckily, fortunately; to be timely, be in time",
1371,mayóobaama,"opportunity, chance (to get something)",
1372,mayóobatíkko,Negative form of mayóoba,
1373,Meyka,month of May,
1374,michaaya,"far away, beyond",
1375,mìisli,to be blinking off and on repeatedly,-LI
1376,mikko,"chief; queen, king, ruler, president, leader",AM-
1377,mikkochi,to elect a chief (of a group),-LI
1378,mikkochilka,"selecting a chief, vote for chief",
1379,mikko chóhbaama,"first chief, chairperson, president, head",
1380,mikkofíino,"first chief, chairperson, president, head",
1381,mikko istatòkla,"second chief, vice president",
1382,mikko istimatòkla,"second chief, vice president",
1383,mikkotilka,"chieftancy, office of chief",
1384,miɬihkachi,to be grated,
1385,miɬihlichi,to grate,-LI/3
1386,miɬiikachi,Var. of miɬihkachi,
1387,miɬiilichi,Var. of miɬihlichi,
1388,miɬɬi,"to be bruised, scraped, have abrasions",CHA-
1389,miɬɬichi,"to scrape, abrade, rub off (plural objects)",-LI/CHA-
1390,miɬoffi,"to be bruised, scraped, have an abrasion (of a body part)",CHA-
1391,miɬoffichi,"to scrape, abrade, rub off (one object)",-LI/CHA-
1392,mìnta,"another, other, else, different one, another one",
1393,mìntako,"to be last (i.e. previous), former",
1394,mìntama,"next, subsequent",
1395,minti,to come,
1396,misìili,"to blink, wink, close the eyes (once)",-LI
1397,misíiⁿlòosi,"to squint, just about close the eyes (once)",-LI
1398,misli,"to blink, wink, close the eyes repeatedly",-LI
1399,mislichi,to make someone blink (repeatedly),-LI/CHA-
1400,mismihli,"to blink the eyes, flutter eyelids; to flash repeatedly (of lightning)",-LI
1401,míssìili,to have the eyes closed,-LI
1402,míssìiⁿlòosi,"to squint, just about close the eyes",-LI
1403,mìyya,scar,AM-p
1404,mobìlka,"car, automobile",
1405,mobìlka aatalibòoka,garage,
1406,mobìlka aayittimayya,"automobile race track, stock car race track, drag strip",
1407,mobìlka chokookachi,parking lot,
1408,mobìlka imaachiika,parking lot,
1409,mobìlka imiisa,garage,
1410,mobìlka impahkachi,car horn,
1411,mobìlka iswalìika,driver,
1412,mobìlkamiisa,carport,
1413,mobìlka waliilichi,"car motor, automobile engine",
1414,mobìlka waliilìichi,"chauffeur, taxi driver",
1415,mobìlkimapala,headlight,
1416,mobìlkimistika,automobile inspection sticker,
1417,mobìlkimokhicha,car door,
1418,mobìlkintalbòoli,auto mechanic,
1419,mobìlkintonotli,wheel,
1420,mobìlkischòopa,car salesperson,
1421,mobìlkiswakayka,car jack or lift,
1422,mobìlkittimayya,"automobile race, stock car race, drag race",
1423,mohka,"to moo, bellow",
1424,mohooka,"to moo, bellow (off in the distance)",
1425,mók,"also, too; that",
1426,Mokáhyi,"a hero of 19th C., first English-speaking Alabama, raised by whites",
1427,mókko,"No, it is not an X; no, it wasn't X; no, that's not right",
1428,moⁿhka,Var. of mohka,
1429,mooda,"motor, engine",
1430,mookichi,"to mortgage, use something as collateral",-LI/3
1431,mòoko,Negative form of mooli,
1432,mooli,ready! amen! that's all! the end!,
1433,mòoli,"enough!, amen!, that's it, okay!, ready!; ready? alright? enough?",
1434,mooliiya,"now, now then",
1435,móosi,"maternal uncle, mother's brother",AM-p
1436,móoskat,"my!, gee!, well!",
1437,moota,Var. of mooda,
1438,mootik,"but, on the other hand",
1439,mooton,"now, and",
1440,mootoolín,"but, however",
1441,móttàaki,"to be showing, be perceived, be seen, be visible",3; AM-
1442,mottaíkko,"to be opaque, illegible, imperceptable, unclear, invisible",Other Verb
1443,mottaki,"to be visible, legible, perceivable, perceptible, known",
1444,mottakiichi,"to show, reveal, make known, discover, find, uncover",-LI/CHA-
1445,mottakitíkko,Negative form of mottaki,
1446,mottákkìichi,"to make an audible noise at a distance, be audible",-LI
1447,obàali,"to be behind, be in back",Other Verb
1448,obakhititli,Var. of ibakhititli,
1449,obakhititlichi,Var. of ibakhititlichi,
1450,obakhitli,Var. of ibakhitli,
1451,obakhitlichi,Var. of ibakhitlichi,
1452,obaksolohka,to be skinny legged,CHA-
1453,obalsofka,"to be late, be running behind (of more than one)",CHA-
1454,obaltammi,"to be running late, be late (of one)",CHA-
1455,obaltammichi,to make (one person) late,-LI/CHA-
1456,obaltanka,"lateness, tardiness",
1457,obi,"thigh, ham (body part)",CHA-
1458,obi abosli,ham,
1459,obìlli,brown bird the size of a robin,
1460,obisolohka,"to be weak-legged, weak-kneed, shaky on the feet",CHA-
1461,obisolóhka,type of bird that comes before the rain,
1462,obisolotka,"to be weak-legged, weak-kneed, shaky on the feet",CHA-
1463,obittaltàala,"area between the legs, groin, genitals",
1464,obítto,Var. of ibítto,
1465,obiyyíksa,"to have a charley horse, have a muscle cramp in the upper leg",Other Verb
1466,obiyyíksatilka,"charley horse, muscle cramp in the thigh",
1467,ocha,"hickory, hickory nuts",
1468,ochaabaski,Var. of ochahobaski,
1469,ochaachala,"tree species like hickory or pecan with a smooth trunk, grows by creek bottoms",
1470,ochaatakba,Var. of ochatakba,
1471,ochahobaski,pecan,
1472,ochahoɬka,hickory sofkey,
1473,ochana,"iron, metal; wood stove heater",
1474,ochana aaholponi,"cookstove, stove",
1475,ochana aahoponka,"metal cookware, pots and pans",
1476,ochanaayàmpo,"pot, pan",
1477,ochanaayàmpo sokpa,aluminum foil pan,
1478,ochanahalokpa,steel wedge,
1479,ochanaholihta istiⁿhachàali,wire fence post,
1480,ochana isholihta,"wire fence, netwire fence",
1481,ochana ittatakkachi,metal chain,
1482,ochanalaana,copper,
1483,ochana naaɬiilka,any modern electronic talking machine,
1484,ochanasokpa,"any light metal, esp. aluminum foil",
1485,ochanaspatàaka,"any metal spring, esp. bedspring",
1486,ochanàtka,"(metal) bucket, can, tin can",
1487,ochanàtka bila,"tin can, bucket",
1488,ochanàtkasi,small tin can,
1489,ochanàtkasi istintiyapka,can opener,
1490,ochanayàmpo,Var. of ochanaayàmpo,
1491,ochanisholihta,Var. of ochana isholihta,
1492,ochanisholìhta halokpa,barbed wire fence,
1493,ochanispoyatli,"skillet, frying pan",
1494,ochaobaski,Var. of ochahobaski,
1495,ochatakba,"shagbark hickory, bitternut hickory",
1496,ochatapaski,black walnut (?) tree,
1497,ochokba,bottle,
1498,ochokba basilka,"bottle shards, glass slivers",
1499,ochokba wanha,jug,
1500,ochokbistimokbahka pakto,cork,
1501,ochona,Var. of ochana,
1502,ochona aahiɬka,heater,
1503,ochonahalokpa,Var. of ochanahalokpa,
1504,ochonahollo,magnet,
1505,ochona ittokolofka,steel drum,
1506,ochonakolofka,Var. of ochona ittokolofka,
1507,ochonalaana,Var. of ochanalaana,
1508,ochona naaɬiilka,Var. of ochana naaɬiilka,
1509,ochona olaachilka,brass musical instrument,
1510,ochonapofilka,brass musical instrument,
1511,ochonasakla,"window screen, net wire, chicken wire",
1512,ochonasholihta,Var. of ochana isholihta,
1513,ochonaskòlka,"cold chisel, hacksaw",
1514,ochonaspatàaka,Var. of ochanaspatàaka,
1515,ochonastafinapka,crowbar,
1516,ochonastalikcho,steel cable,
1517,ochonastalpisa pakofka,metal square (tool),
1518,ochonàtka,Var. of ochanàtka,
1519,ochonatóoɬka,"machines, machinery",
1520,ochonawalìika,machine (sg.),
1521,ochòosi,"son; child, baby, offspring",CHA-
1522,ochòostoba,"nephew, stepson, anyone like a son",
1523,ochoski,"sons; children, babies, offspring",CHA-
1524,ochoskíkso,Negative form of ochoski,
1525,ochoskíkso báana,"to be barren, nulliparous, have no offspring",CHA-
1526,ofolo,screech owl,
1527,ofolo intato,kind of tree,
1528,óhhòocha,to be a long time,
1529,óhhòochàasiiko,"to be a while ago, some time ago",
1530,ohompa,Var. of oompa,
1531,ohóocha,"to be old, elderly, ancient",CHA-
1532,ohóochókko,Negative form of ohóocha,
1533,okaamahli,Var. of maatokaamahli,
1534,okaayikba,kettle,
1535,okaayisilka,water fountain,
1536,okali,Var. of okkali,
1537,okbaali,Var. of okbahli,
1538,okbahka,"to be blocked, closed",
1539,okbahli,"to close, shut (a door or window); to plug up, stop up; to dam up",-LI/3
1540,okbàhli,to keep closed,-LI/3
1541,okbohòolichi,"to whip, beat (liquid), churn, splash, stir up to muddy (water), mix up",Other Verb
1542,okbòolichi,Var. of okbohòolichi,
1543,okchaako,watermelon,
1544,okcháako,"to be raw, uncooked; to be tender; to be green, not ripe (as any tender vegetable or fruit)",
1545,okchaaya,to come alive,
1546,okcháaya,"to be still alive, (barely) living; to be conscious, awake",CHA-
1547,okchaayachi,to bring to life,-LI/CHA-
1548,okchakìiyo,Negative form of okchaaya,
1549,okchakko,"to be blue, green, purple, violet, in the blue-green spectrum",CHA-
1550,okchakkochi,"to make blue, green, or purple (with dye, paint, etc.)",-LI/3
1551,okchakkot anooka,to turn blue,CHA-
1552,okchakkot hommakàhchi,to be reddish purple,CHA-
1553,okchakkotíkko,Negative form of okchakko,
1554,okchakkot lochakàhchi,to be navy blue,CHA-
1555,okchaliiya,"life, living",
1556,okchalìiya,being alive,
1557,okchaɬchoba,"bird species, kind of fisher (?)",
1558,okcháɬɬa,small black bird species (about the size of a cardinal) which appear in large flocks,
1559,okchamaali,to be clear (of liquid),
1560,okchamáhko,Negative form of okchamaali,
1561,okchamahli,Var. of okchamaali,
1562,okchawahka,Var. of okchiwahka,
1563,okchawohka,Var. of okchiwahka,
1564,okchayàachi,to bring to life,-LI/CHA-
1565,okchi,"juice, soup, drippings",
1566,okchíisa,"to have juice, be juicy",Other Verb
1567,okchisa,"oozing sore, blood blister,",
1568,okchiwahka,"to churn, beat, or whip (a liquid or semi-solid), shake, beat, mix (food)",-LI/3
1569,okchiwaíkko,Negative form of okchiwahka,
1570,okcholotli,"to be clear, strained, clarified (of liquid)",
1571,okcholotlichi,"to strain through a sieve, clarify (a liquid) by straining",-LI/3
